Epoch,Loss (Cross-Entropy),Perplexity,Accuracy,Avg Levenshtein,Execution Time (s)
1,5.445430493611506,231.69696044921875,39.69973881012139,3.4744143130828675,145.34326338768005
2,3.145849487983683,23.239408493041992,64.64944521391747,2.3323306935361883,146.65458416938782
3,2.0296131989355843,7.611142158508301,78.03096105423134,1.5064817753971178,147.8821017742157
4,1.4401217599977234,4.22121000289917,84.56142248968357,1.077110723482695,148.09304070472717
5,1.095141194209276,2.9896047115325928,88.12999682571113,0.8343868366016941,148.63659000396729
6,0.8732420739142442,2.3946619033813477,90.3910907611863,0.6773197570393172,148.51196885108948
7,0.720126336608408,2.0546927452087402,91.92454786796999,0.5693735219398477,148.64066553115845
8,0.6072216082269057,1.835325002670288,93.0334055628647,0.4912115066440622,148.3358347415924
9,0.5212874773333243,1.6841946840286255,93.88770774495865,0.4299242559558743,148.1762409210205
10,0.4497334714251925,1.5678942203521729,94.58819470740916,0.38001749431230714,148.67001461982727
11,0.39324905197881915,1.4817874431610107,95.15038065949679,0.3380556408950474,148.66752123832703
12,0.3440103031805194,1.4105931520462036,95.63673070700905,0.30348140897599074,148.95363450050354
13,0.30305970491262335,1.3539953231811523,96.06878102203936,0.27179771920710144,148.91327142715454
14,0.26511520234564595,1.3035811185836792,96.44898121657938,0.2449918193166195,149.80428504943848
15,0.23127385113553758,1.2602043151855469,96.81111552268085,0.2178531804639361,148.982177734375
16,0.2016485971003811,1.2234179973602295,97.17600564227295,0.19192709954712797,148.77526259422302
17,0.173424176490724,1.1893705129623413,97.55885958313728,0.16425975277290975,148.91001915931702
18,0.14934521199180212,1.1610738039016724,97.89792670965055,0.13932576471272687,148.20670914649963
19,0.12672523111806905,1.1351051330566406,98.23872897799126,0.11419376634988421,148.9296042919159
20,0.10781957237563856,1.113846778869629,98.52043435703298,0.09432230973914695,148.73768258094788
21,0.09001837289249111,1.0941944122314453,98.78652345962784,0.07553072374806966,148.77879452705383
22,0.07578418408376371,1.0787297487258911,98.98800404594247,0.06151588114074348,148.35205841064453
23,0.06351076913760156,1.0655709505081177,99.17243941548175,0.04925863513743854,148.32918238639832
24,0.05386135378453886,1.0553382635116577,99.28634637309428,0.04209658207680146,148.09781193733215
25,0.045570367565541496,1.0466246604919434,99.4007636665384,0.03460995542726847,148.64004755020142
26,0.039421916066281606,1.0402092933654785,99.47792644427592,0.029869956223392367,149.0644872188568
27,0.03367516061185808,1.0342485904693604,99.57927914043115,0.023623445644640913,148.82538628578186
28,0.029788537623115074,1.0302366018295288,99.61153236498811,0.02205365262664749,148.28821682929993
29,0.026082282227214582,1.0264253616333008,99.67052718712075,0.018598679046733492,148.41472387313843
30,0.02345077816489708,1.0237278938293457,99.71206852381277,0.016623679378451783,148.32665419578552
31,0.021224021545296703,1.0214508771896362,99.7420762707107,0.014378201719423485,148.40284156799316
32,0.018763687583983876,1.018940806388855,99.77688117442564,0.012603253697127932,148.52936434745789
33,0.017468061641423963,1.0176215171813965,99.80117316000968,0.011320269416492217,148.51956748962402
