Epoch,Loss (Cross-Entropy),Perplexity,Accuracy,Avg Levenshtein,Execution Time (s)
1,6.716737269073405,826.1177368164062,24.521045228556705,3.9603431948267778,60.977962493896484
2,4.5185456211848924,91.70213317871094,44.9405107303509,3.313425820617686,63.25739526748657
3,3.106425619253548,22.34104347229004,61.38768063801835,2.4864959590004503,64.73160338401794
4,2.164971298107537,8.71435260772705,73.18862949535088,1.795344610685322,65.4984667301178
5,1.5765582874257078,4.838274955749512,80.39674213270077,1.3387313907444631,66.54052591323853
6,1.1919780854255921,3.2935898303985596,84.94988789185626,1.0404889122028438,68.22735500335693
7,0.9300397094539417,2.534609794616699,87.97309404550245,0.8338118625735202,67.2443380355835
8,0.7400958094225135,2.0961363315582275,90.14481215502954,0.6849447815167791,67.12368822097778
9,0.5957260937780462,1.8143478631973267,91.8116954557904,0.5680459295227396,69.09805083274841
10,0.48515013701492743,1.62441885471344,93.12275725685531,0.4742267323377449,70.7012095451355
11,0.39827311359426026,1.489250659942627,94.27830672602441,0.3902709628302316,70.27367997169495
12,0.3271993162330761,1.3870779275894165,95.26952376089167,0.3181445754049123,70.54857516288757
13,0.2739772488993983,1.3151848316192627,96.065654057015,0.26032300143442716,70.334055185318
14,0.23315980710009093,1.2625832557678223,96.63907676738604,0.21755014692433744,70.54210996627808
15,0.20345564955665218,1.225630760192871,97.05756741575642,0.18658926639958778,70.85154581069946
16,0.1802539602723173,1.197521448135376,97.3441046899734,0.16524345803720225,70.31943821907043
17,0.16307745589524186,1.1771278381347656,97.55172525845221,0.1505962853442393,70.72782778739929
18,0.15077847114173315,1.1627390384674072,97.68042912119284,0.1407491052238217,70.10912680625916
19,0.1396095215753522,1.1498247385025024,97.79764364000984,0.13246981436005514,68.15458726882935
20,0.13231463736343768,1.1414674520492554,97.85938435685206,0.1279077324445146,69.1043291091919
21,0.12300507049326614,1.130890130996704,97.94921013661875,0.12172553698176096,68.89059567451477
22,0.11699400950343378,1.1241127252578735,98.02232414340558,0.11680252719144729,67.21194696426392
23,0.11085949882224042,1.11723792552948,98.0683975730792,0.11334643969603142,66.9311294555664
24,0.10659421085109634,1.1124827861785889,98.0888230733879,0.11202110325554622,67.1901376247406
25,0.10192991216336528,1.107305884361267,98.13338780133415,0.1091731386102304,68.72376656532288
26,0.09678021930558707,1.1016182899475098,98.19443219430221,0.10421763370578924,68.84169912338257
27,0.09166128757179424,1.0959935188293457,98.24224643366122,0.10152518139236921,70.80203294754028
28,0.088228172031782,1.0922373533248901,98.29156937474758,0.09752480073531801,70.28515625
29,0.08282909288962362,1.0863561630249023,98.35597933310741,0.09364743729603513,70.6596930027008
30,0.08038881634392085,1.08370840549469,98.3615499241007,0.09337354990553207,71.85136556625366
